hospital_id;analysis_year;hospital_name;camas_instaladas;estancia_media_global;ingresos_programados;ingresos_urgentes;total_ingresos;urgencias_totales;dias_hospitalizacion;capacidad_anual_camas;tasa_ocupacion_camas;tasa_ingreso_urgencias;total_ingresos_calculado;ratio_urgentes_programados;productividad_camas;eficiencia_estancia;tasa_ocupacion_camas_percentile;tasa_ocupacion_camas_score;tasa_ingreso_urgencias_percentile;tasa_ingreso_urgencias_score;ratio_urgentes_programados_percentile;ratio_urgentes_programados_score;productividad_camas_percentile;productividad_camas_score;eficiencia_estancia_percentile;eficiencia_estancia_score;nivel_servicio_score;camas_por_1000_hab;ingresos_por_1000_hab;urgencias_por_1000_hab;poblacion_total_asignada;num_municipios_asignados;camas_por_1000_asignados;preparacion_camas;capacidad_atencion_por_1000_asignados;urgencias_por_1000_asignados;camas_por_1000_asignados_percentile;capacidad_atencion_por_1000_asignados_percentile;urgencias_por_1000_asignados_percentile;indice_preparacion_poblacional;municipios_servidos;municipios_id_servidos
CH0027;2022;HOSPITAL DE EL ESCORIAL;92.0;5.88;864.0;2236.0;3100.0;52159.0;18228.0;33580.0;0.5428231089934484;0.05943365478632642;3100.0;2.587962962962963;33.69565217391305;0.17006802721088435;8.333333333333332;100.0;4.166666666666666;4.166666666666666;41.66666666666667;41.66666666666667;16.666666666666664;16.666666666666664;66.66666666666666;66.66666666666666;45.83333333333333;14.877102199223804;501.2936610608021;8434.508408796895;152371;17;0.6037894349974733;Insuficiente;20.34507878795834;342.315795000361;6.547619047619048;6.547619047619048;8.928571428571429;7.341269841269842;['Becerril de la Sierra', 'Cercedilla', 'Collado Mediano', 'Colmenarejo', 'El Escorial', 'Fresnedillas de la Oliva', 'Galapagar', 'Guadarrama', 'Los Molinos', 'Navacerrada', 'Navalagamella', 'Robledo de Chavela', 'San Lorenzo de El Escorial', 'Santa María de la Alameda', 'Valdemaqueda', 'Valdemorillo', 'Zarzalejo'];['28018', '28038', '28046', '28044', '28054', '28056', '28061', '28068', '28087', '28093', '28095', '28125', '28131', '28135', '28159', '28160', '28183']
CH0032;2022;HOSPITAL UNIVERSITARIO DE MOSTOLES;328.0;6.37;3172.0;109351.0;11994.0;109351.0;76401.78;119720.0;0.638170564650852;0.10968349626432314;112523.0;34.47383354350568;36.56707317073171;0.15698587127158556;37.5;100.0;37.5;37.5;100.0;100.0;37.5;37.5;33.33333333333333;33.33333333333333;61.666666666666664;1.572900082481346;57.51635240634531;524.3847467055416;243484;2;1.347111103809696;Básica;49.25991030211431;449.1095924167502;76.48809523809523;27.083333333333332;45.535714285714285;49.70238095238094;['Móstoles', 'Arroyomolinos'];['28092', '28015']
CH0044;2022;HOSPITAL UNIVERSITARIO  PRINCIPE DE ASTURIAS;507.0;6.33;5464.0;13043.0;18507.0;160934.0;117149.31;185055.0;0.6330513090702764;0.11499745237177973;18507.0;2.3870790629575405;36.50295857988166;0.1579778830963665;25.0;100.0;50.0;50.0;29.166666666666668;29.166666666666668;33.33333333333333;33.33333333333333;37.5;37.5;50.0;2.586629117178891;94.4196155258969;821.0583241500347;251343;12;2.0171637960874182;Adecuada;73.63244649741587;640.2963281253108;94.94047619047619;83.63095238095238;77.08333333333334;85.21825396825396;['Alcalá de Henares', 'Anchuelo', 'Camarma de Esteruelas', 'Corpa', 'Meco', 'Pezuela de las Torres', 'Santorcaz', 'Los Santos de la Humosa', 'Torres de la Alameda', 'Valdeavero', 'Valverde de Alcalá', 'Villalbilla'];['28005', '28012', '28032', '28048', '28083', '28111', '28136', '28137', '28154', '28156', '28166', '28172']
CH0052;2022;HOSPITAL UNIVERSITARIO SEVERO OCHOA;386.0;6.22;3663.0;11456.0;15119.0;120849.0;94040.18;140890.0;0.6674723543189722;0.12510653791094672;15119.0;3.1274911274911275;39.16839378238342;0.1607717041800643;50.0;100.0;62.5;62.5;66.66666666666666;66.66666666666666;45.83333333333333;45.83333333333333;41.66666666666667;41.66666666666667;63.333333333333336;2.0518599632153602;80.368059025526;642.3969551673914;403522;4;0.9565773365516627;Insuficiente;37.467597801359034;299.48552990914993;56.25;12.797619047619047;2.6785714285714284;23.90873015873016;['Leganés', 'Fuenlabrada', 'Humanes de Madrid', 'Moraleja de Enmedio'];['28074', '28058', '28073', '28089']
CH0053;2022;HHOSPITAL CLINICO SAN CARLOS;861.0;7.53;8451.0;20254.0;28705.0;145819.0;216148.65;314265.0;0.6877910362273877;0.19685363361427524;28705.0;2.39663945095255;33.339140534262484;0.13280212483399734;58.333333333333336;100.0;95.83333333333334;95.83333333333334;33.33333333333333;33.33333333333333;12.5;12.5;16.666666666666664;16.666666666666664;51.66666666666667;0.2635423582357905;8.786275717953968;44.633546034360904;3267027;1;0.2635423582357905;Insuficiente;8.786275717953968;44.633546034360904;1.1904761904761905;1.1904761904761905;0.5952380952380952;0.9920634920634921;['Madrid'];['28079']
CH0075;2022;HOSPITAL UNIVERSITARIO DE GETAFE;543.0;6.18;5225.0;13320.0;18545.0;131480.0;114608.09999999999;198195.0;0.5782592900930901;0.14104806814724674;18545.0;2.5492822966507176;34.15285451197053;0.16181229773462785;12.5;100.0;83.33333333333334;83.33333333333334;37.5;37.5;20.833333333333336;20.833333333333336;50.0;50.0;58.333333333333336;2.933248342957773;100.17880390451548;710.2458418638822;239268;2;2.2694217362957017;Adecuada;77.50723038601066;549.5093368106056;99.10714285714286;87.79761904761905;57.44047619047619;81.44841269841271;['Getafe', 'Pinto'];['28065', '28113']
CH0080;2022;HOSPITAL UNIVERSITARIO FUNDACION ALCORCON;401.0;6.04;4707.0;10748.0;15455.0;116275.0;93348.2;146365.0;0.6377767908994636;0.13291765211782414;15455.0;2.283407690673465;38.54114713216958;0.16556291390728478;33.33333333333333;100.0;70.83333333333334;70.83333333333334;20.833333333333336;20.833333333333336;41.66666666666667;41.66666666666667;58.333333333333336;58.333333333333336;58.333333333333336;2.3390789512059964;90.1507860121912;678.2453991308658;171435;1;2.3390789512059964;Adecuada;90.1507860121912;678.2453991308658;100.0;95.83333333333334;87.5;94.44444444444446;['Alcorcón'];['28007']
CH0086;2022;HOSPITAL UNIVERSITARIO FUENLABRADA;413.0;5.79;4697.0;12486.0;17183.0;143953.0;99489.57;150745.0;0.6599858701781154;0.11936534841232903;17183.0;2.658292527144986;41.60532687651332;0.17271157167530224;45.83333333333333;100.0;58.333333333333336;58.333333333333336;45.83333333333333;45.83333333333333;50.0;50.0;70.83333333333334;70.83333333333334;65.0;2.1712272954288565;90.33462134952553;756.7909996582814;215400;3;1.9173630454967503;Básica;79.77251624883937;668.30547818013;90.47619047619048;89.28571428571429;86.30952380952381;88.69047619047619;['Fuenlabrada', 'Humanes de Madrid', 'Moraleja de Enmedio'];['28058', '28073', '28089']
CH0095;2022;HOSPITAL INFANTA ELENA;188.0;4.72;2905.0;8034.0;10939.0;134896.0;51632.079999999994;68620.0;0.7524348586417953;0.08109210058118847;10939.0;2.765576592082616;58.18617021276596;0.21186440677966104;79.16666666666666;100.0;25.0;25.0;54.166666666666664;54.166666666666664;91.66666666666666;91.66666666666666;91.66666666666666;91.66666666666666;72.5;2.3664468052968126;137.69447661245655;1698.0011076985047;125885;4;1.4934265400961195;Básica;86.89677086229496;1071.5812050681177;78.27380952380952;94.34523809523809;94.94047619047619;89.18650793650794;['Valdemoro', 'Ciempozuelos', 'Titulcia', 'San Martín de la Vega'];['28161', '28040', '28147', '28132']
CH0096;2022;HOSPITAL UNIVERSITARIO HENARES;263.0;6.19;2352.0;8906.0;11258.0;100515.0;69687.02;95995.0;0.7259442679306214;0.11200318360443715;11258.0;3.7865646258503403;42.80608365019011;0.16155088852988692;66.66666666666666;100.0;45.83333333333333;45.83333333333333;75.0;75.0;58.333333333333336;58.333333333333336;45.83333333333333;45.83333333333333;64.99999999999999;3.2639181910695227;139.7155551142992;1247.4248554195935;165087;5;1.5930993960760083;Básica;68.19434601149698;608.8607824965019;80.95238095238095;78.57142857142857;72.02380952380952;77.18253968253968;['Coslada', 'San Fernando de Henares', 'Mejorada del Campo', 'Velilla de San Antonio', 'Loeches'];['28049', '28130', '28084', '28167', '28075']
CH0097;2022;HOSPITAL UNIVERSITARIO INFANTA SOFIA;276.0;5.65;4306.0;12747.0;17053.0;143632.0;96349.45000000001;100740.0;0.956417014095692;0.11872702461846942;17053.0;2.9602879702740363;61.78623188405797;0.17699115044247787;95.83333333333334;93.58298590430793;54.166666666666664;54.166666666666664;58.333333333333336;58.333333333333336;95.83333333333334;95.83333333333334;79.16666666666666;79.16666666666666;76.2165971808616;4451.612903225806;275048.3870967742;2316645.1612903224;341322;52;0.8086205987308173;Insuficiente;49.96161981940807;420.8108472351621;39.58333333333333;43.154761904761905;29.464285714285715;37.40079365079365;['La Acebeda', 'Alameda del Valle', 'Alcobendas', 'Algete', 'El Atazar', 'El Berrueco', 'Berzosa del Lozoya', 'Buitrago del Lozoya', 'Cabanillas de la Sierra', 'La Cabrera', 'Canencia', 'Cervera de Buitrago', 'Cobeña', 'Fuente el Saz de Jarama', 'Garganta de los Montes', 'Gargantilla del Lozoya y Pinilla de Buitrago', 'Gascones', 'La Hiruela', 'Horcajo de la Sierra-Aoslos', 'Horcajuelo de la Sierra', 'Lozoya', 'Lozoyuela-Navas-Sieteiglesias', 'Madarcos', 'El Molar', 'Montejo de la Sierra', 'Navarredonda y San Mamés', 'Paracuellos de Jarama', 'Patones', 'Pedrezuela', 'Pinilla del Valle', 'Piñuécar-Gandullas', 'Prádena del Rincón', 'Puebla de la Sierra', 'Puentes Viejas', 'Rascafría', 'Redueña', 'Robledillo de la Jara', 'Robregordo', 'San Agustín del Guadalix', 'San Sebastián de los Reyes', 'La Serna del Monte', 'Somosierra', 'Talamanca de Jarama', 'Torrelaguna', 'Torremocha de Jarama', 'Valdemanco', 'Valdeolmos-Alalpardo', 'Valdepiélagos', 'Valdetorres de Jarama', 'El Vellón', 'Venturada', 'Villavieja del Lozoya'];['28001', '28003', '28006', '28009', '28016', '28021', '28020', '28027', '28029', '28030', '28034', '28039', '28041', '28059', '28062', '28063', '28064', '28069', '28070', '28071', '28076', '28901', '28078', '28086', '28088', '28097', '28104', '28107', '28108', '28112', '28114', '28117', '28118', '28902', '28120', '28121', '28124', '28126', '28129', '28134', '28138', '28143', '28145', '28151', '28153', '28158', '28162', '28163', '28164', '28168', '28169', '28182']
CH0098;2022;HOSPITAL UNIVERSITARIO INFANTA CRISTINA;188.0;5.7;1615.0;7245.0;8860.0;114379.0;50502.0;68620.0;0.735966190614981;0.0774617718287448;8860.0;4.486068111455109;47.12765957446808;0.17543859649122806;75.0;100.0;16.666666666666664;16.666666666666664;87.5;87.5;70.83333333333334;70.83333333333334;75.0;75.0;70.0;1.4437328172756454;68.03974872905435;878.3655101445269;172396;8;1.0905125408942202;Básica;51.393303788951016;663.4666697603193;59.82142857142857;61.011904761904766;83.03571428571429;67.95634920634922;['Parla', 'Torrejón de Velasco', 'Torrejón de la Calzada', 'Batres', 'Cubas de la Sagra', 'Casarrubuelos', 'Serranillos del Valle', 'Griñón'];['28106', '28150', '28149', '28017', '28050', '28036', '28140', '28066']
CH0099;2022;HOSPITAL UNIVERSITARIO DEL TAJO;102.0;6.06;533.0;3984.0;4517.0;68814.0;27373.019999999997;37230.0;0.7352409347300564;0.06564071264568257;4517.0;7.474671669793621;44.28431372549019;0.16501650165016502;70.83333333333334;100.0;8.333333333333332;8.333333333333332;95.83333333333334;95.83333333333334;66.66666666666666;66.66666666666666;54.166666666666664;54.166666666666664;65.00000000000001;1.6960989723635638;75.11057900162959;1144.268183178689;78828;5;1.2939564621708022;Básica;57.30197391789719;872.9639214492312;74.40476190476191;64.88095238095238;92.26190476190477;77.18253968253968;['Aranjuez', 'Colmenar de Oreja', 'Chinchón', 'Valdelaguna', 'Villaconejos'];['28013', '28043', '28052', '28157', '28170']
CH0100;2022;HOSPITAL UNIVERSITARIO DEL SURESTE;132.0;5.92;1548.0;6824.0;8372.0;123370.0;49562.24;48180.0;1.0286890826068908;0.0678609062170706;8372.0;4.40826873385013;63.42424242424242;0.16891891891891891;100.0;21.310917393109108;12.5;12.5;83.33333333333334;83.33333333333334;100.0;100.0;62.5;62.5;55.92885014528849;200.0;12684.848484848486;186924.24242424243;207527;21;0.6360618136435259;Insuficiente;40.34173866533029;594.4768632515287;17.857142857142858;20.238095238095237;64.28571428571429;34.12698412698413;['Ambite', 'Arganda del Rey', 'Belmonte de Tajo', 'Brea de Tajo', 'Campo Real', 'Carabaña', 'Estremera', 'Fuentidueña de Tajo', 'Morata de Tajuña', 'Nuevo Baztán', 'Olmeda de las Fuentes', 'Orusco de Tajuña', 'Perales de Tajuña', 'Pozuelo del Rey', 'Rivas-Vaciamadrid', 'Tielmes', 'Valdaracete', 'Valdilecha', 'Villamanrique de Tajo', 'Villar del Olmo', 'Villarejo de Salvanés'];['28011', '28014', '28019', '28025', '28033', '28035', '28055', '28060', '28091', '28100', '28101', '28102', '28110', '28116', '28123', '28146', '28155', '28165', '28173', '28179', '28180']
CH0101;2022;HOSPITAL UNIVERSITARIO INFANTA LEONOR;361.0;6.87;3272.0;13891.0;17163.0;182892.0;117909.81;131765.0;0.8948492391758054;0.0938422675677449;17163.0;4.24541564792176;47.54293628808864;0.14556040756914118;91.66666666666666;100.0;29.166666666666668;29.166666666666668;79.16666666666666;79.16666666666666;75.0;75.0;25.0;25.0;61.666666666666664;0.11049801547400741;5.2534001096409675;55.98117187277607;3267027;1;0.11049801547400741;Insuficiente;5.2534001096409675;55.98117187277607;0.5952380952380952;0.5952380952380952;1.1904761904761905;0.7936507936507936;['Madrid'];['28079']
CH0104;2022;HOSPITAL UNIVERSITARIO DE TORREJÓN;250.0;4.63;2937.0;9689.0;12626.0;125414.0;58458.38;91250.0;0.6406397808219177;0.10067456583794472;12626.0;3.2989445011916922;50.504;0.2159827213822894;41.66666666666667;100.0;33.33333333333333;33.33333333333333;70.83333333333334;70.83333333333334;79.16666666666666;79.16666666666666;95.83333333333334;95.83333333333334;75.83333333333333;51.81347150259067;2616.7875647668393;25992.538860103625;154310;5;1.6201153522130776;Básica;81.82230574816927;812.7405871298037;83.92857142857143;91.66666666666666;89.28571428571429;88.29365079365078;['Ajalvir', 'Daganzo de Arriba', 'Fresno de Torote', 'Torrejón de Ardoz', 'Ribatejada'];['28002', '28053', '28057', '28148', '28122']
CH0105;2022;HOSPITAL REY JUAN CARLOS;362.0;5.05;6340.0;14610.0;20950.0;164254.0;105797.5;132130.0;0.8007076364186786;0.1275463611236256;20950.0;2.304416403785489;57.87292817679558;0.19801980198019803;83.33333333333334;100.0;66.66666666666666;66.66666666666666;25.0;25.0;87.5;87.5;87.5;87.5;73.33333333333333;1.7359446032263632;100.46419734141521;787.6680797191798;328893;18;1.1006619174017083;Básica;63.698528092723166;499.4147032621552;67.55952380952381;71.72619047619048;51.488095238095234;63.59126984126984;['Móstoles', 'Navalcarnero', 'El Álamo', 'Villanueva de Perales', 'Villa del Prado', 'Navas del Rey', 'Colmenar del Arroyo', 'Pelayos de la Presa', 'Cenicientos', 'Villaviciosa de Odón', 'Sevilla la Nueva', 'Villamanta', 'Villamantilla', 'Aldea del Fresno', 'Chapinería', 'San Martín de Valdeiglesias', 'Cadalso de los Vidrios', 'Rozas de Puerto Real'];['28092', '28096', '28004', '28178', '28171', '28099', '28042', '28109', '28037', '28181', '28141', '28174', '28175', '28008', '28051', '28133', '28031', '28128']
CH0106;2022;HOSPITAL GENERAL DE VILLALBA;217.0;4.58;2682.0;8345.0;11027.0;135994.0;50503.66;79205.0;0.6376322201881195;0.08108445960851214;11027.0;3.1114839671886654;50.815668202764975;0.2183406113537118;29.166666666666668;100.0;20.833333333333336;20.833333333333336;62.5;62.5;83.33333333333334;83.33333333333334;100.0;100.0;73.33333333333334;14.290418175831412;726.1771485018111;8955.81165623971;118328;7;1.833885470894463;Básica;93.19011561084443;1149.2968697180718;87.5;98.21428571428571;98.21428571428571;94.64285714285715;['Alpedrete', 'Becerril de la Sierra', 'Cercedilla', 'Collado Mediano', 'Collado Villalba', 'Moralzarzal', 'Navacerrada'];['28010', '28018', '28038', '28046', '28047', '28090', '28093']
